open_bid,low_bid,high_bid,close_bid,volume_bid,open_ask,low_ask,high_ask,close_ask,volume_ask,avg_spread,tick_number
1.210379958152771,1.2078299522399902,1.210729956626892,1.2086900472640991,5726.39,1.2106000185012817,1.2078700065612793,1.210819959640503,1.2087899446487427,5646.05,7.968967905578532e-05,3706
1.208709955215454,1.204759955406189,1.208899974822998,1.205739974975586,16783.01,1.2087899446487427,1.2048200368881226,1.2089699506759644,1.2057700157165527,16064.42,4.553679274126983e-05,9197
1.205739974975586,1.2034900188446045,1.205970048904419,1.2056100368499756,14445.26,1.205780029296875,1.2035200595855713,1.206030011177063,1.205649971961975,14394.26,3.860495098761965e-05,7773
1.2056399583816528,1.2038999795913696,1.206969976425171,1.2054400444030762,25785.04,1.2056699991226196,1.203909993171692,1.2070000171661377,1.2054500579833984,28927.86,2.968343777026044e-05,15393
1.205430030822754,1.2008700370788574,1.205489993095398,1.2031400203704834,33856.07,1.2054400444030762,1.2008899450302124,1.2055100202560425,1.2031699419021606,31084.04,2.6403870359174148e-05,17095
1.2031400203704834,1.2003899812698364,1.2031899690628052,1.2005599737167358,20678.07,1.2031699419021606,1.2004200220108032,1.203220009803772,1.2006100416183472,20963.16,3.022776954344867e-05,10449
1.2005499601364136,1.2000399827957153,1.2008800506591797,1.2001700401306152,7836.26,1.2005900144577026,1.2000999450683594,1.2009299993515015,1.2003200054168701,7977.06,4.077408576988941e-05,4416
1.194949984550476,1.186769962310791,1.1953699588775635,1.1946899890899658,13740.64,1.195099949836731,1.1871099472045898,1.1955599784851074,1.1947300434112549,13169.96,0.00013698151905094897,9172
1.1946899890899658,1.1943999528884888,1.1976100206375122,1.194409966468811,21195.76,1.1947400569915771,1.1944299936294556,1.197659969329834,1.1944400072097778,22118.63,3.5627116914262806e-05,12246
1.1943999528884888,1.1926000118255615,1.196079969406128,1.1956599950790405,20137.6,1.1944400072097778,1.192620038986206,1.196120023727417,1.1957000494003296,20339.99,2.9535027153052428e-05,11103
1.195520043373108,1.1900099515914917,1.1976200342178345,1.1905200481414795,38611.68,1.195580005645752,1.1900399923324585,1.197659969329834,1.190559983253479,37869.84,2.6287110587152416e-05,19692
1.1905200481414795,1.1887199878692627,1.194159984588623,1.1936899423599243,46953.44,1.1905499696731567,1.1887600421905518,1.1941900253295898,1.1936999559402466,44112.67,2.5145468720972304e-05,21850
1.1936700344085693,1.191249966621399,1.1940300464630127,1.1938799619674683,21952.35,1.1936899423599243,1.1912599802017212,1.1940499544143677,1.1939200162887573,22371.95,2.6484984065256185e-05,10630
1.1938799619674683,1.19268000125885,1.1949599981307983,1.1937400102615356,10445.74,1.1939200162887573,1.1927499771118164,1.1949900388717651,1.1937799453735352,10979.19,4.200517658260351e-05,6235
1.1937400102615356,1.1934000253677368,1.1954900026321411,1.194409966468811,12676.16,1.1937899589538574,1.193429946899414,1.1955000162124634,1.1944500207901,13057.38,2.852670849822162e-05,6717
1.1944299936294556,1.194159984588623,1.196869969367981,1.1942299604415894,20230.31,1.1944600343704224,1.1941800117492676,1.1969000101089478,1.1942600011825562,18923.22,2.8427441662343644e-05,9635
1.194219946861267,1.1887799501419067,1.1952400207519531,1.1891299486160278,40274.82,1.1942499876022339,1.1887999773025513,1.1952799558639526,1.1891599893569946,39835.31,2.5016343938633422e-05,19470
1.1891499757766724,1.188420057296753,1.1933399438858032,1.1919000148773193,45298.16,1.1891800165176392,1.1884499788284302,1.1933599710464478,1.1919300556182861,44302.28,2.538315640979734e-05,21485
1.191890001296997,1.1911799907684326,1.1958400011062622,1.1912800073623657,39198.58,1.1919300556182861,1.1912100315093994,1.1958500146865845,1.1913199424743652,37046.17,2.6790548298995615e-05,18714
1.191290020942688,1.1846100091934204,1.1914700269699097,1.1872199773788452,19991.76,1.1913299560546875,1.1849100589752197,1.1914900541305542,1.1872400045394897,18814.87,4.944095011016628e-05,11551
1.1872199773788452,1.1863600015640259,1.1881200075149536,1.1876100301742554,13947.74,1.1872600317001343,1.1863700151443481,1.1881699562072754,1.1876200437545776,13800.7295,2.6476289258040225e-05,7404
1.1876100301742554,1.1854699850082397,1.1889300346374512,1.1887199878692627,20434.6,1.1876300573349,1.1855100393295288,1.1889599561691284,1.1887500286102295,20401.29,2.809094846285038e-05,10700
1.1887500286102295,1.1818900108337402,1.1896599531173706,1.1820499897003174,48916.41,1.1887600421905518,1.1819299459457397,1.1896899938583374,1.1820800304412842,45546.1,2.7426030516417028e-05,22574
1.1820499897003174,1.1802200078964233,1.1845200061798096,1.1802400350570679,48660.76,1.1820800304412842,1.1802300214767456,1.1845500469207764,1.1802500486373901,46107.93,2.416362969918907e-05,21823
1.1802300214767456,1.1802300214767456,1.1858500242233276,1.1850199699401855,37226.99,1.1802500486373901,1.1802500486373901,1.1858899593353271,1.1850500106811523,38823.55,2.827729890335748e-05,18123
1.1849900484085083,1.1830899715423584,1.1850299835205078,1.1833699941635132,12493.33,1.1850099563598633,1.1831400394439697,1.1850700378417969,1.1833800077438354,12537.73,4.453984973160769e-05,7164
1.1833699941635132,1.1817400455474854,1.184749960899353,1.1827000379562378,14182.99,1.18340003490448,1.1817599534988403,1.1847699880599976,1.1827199459075928,15006.04,2.5990840097366506e-05,7808
1.1827000379562378,1.1803699731826782,1.1829099655151367,1.1820199489593506,16570.209,1.1827399730682373,1.1803799867630005,1.1829400062561035,1.1820399761199951,15761.14,2.6473945289546934e-05,8498
