open_bid,low_bid,high_bid,close_bid,volume_bid,open_ask,low_ask,high_ask,close_ask,volume_ask,avg_spread,tick_number
1183.4100341796875,1183.4090576171875,1187.4029541015625,1186.6640625,0.54846,1185.050048828125,1184.531982421875,1187.8470458984375,1187.1080322265625,0.6448,0.5117571051194599,1476
1186.68408203125,1184.260986328125,1188.281982421875,1186.1820068359375,2.10916,1187.1199951171875,1184.5780029296875,1188.62109375,1186.47802734375,2.17188,0.32597491352280444,4428
1186.260986328125,1184.48095703125,1187.4810791015625,1185.842041015625,3.02581,1186.5689697265625,1184.7889404296875,1187.761962890625,1186.1419677734375,2.69611,0.29932419994117604,6195
1185.881103515625,1180.5810546875,1187.94091796875,1182.7110595703125,7.58135,1186.1419677734375,1180.8909912109375,1188.302001953125,1182.98095703125,8.02604,0.2770189180692391,13557
1182.85107421875,1167.4300537109375,1194.3309326171875,1187.94091796875,16.77736,1182.98095703125,1167.908935546875,1194.7080078125,1188.2349853515625,18.69664,0.27756125260212855,33036
1187.94091796875,1182.176025390625,1194.9979248046875,1185.14599609375,11.73106,1188.2490234375,1182.51806640625,1195.27099609375,1185.489990234375,9.075,0.3251914223983356,21174
1185.157958984375,1184.2940673828125,1189.054931640625,1188.35400390625,1.49152,1185.5,1184.6939697265625,1189.7210693359375,1189.0980224609375,1.60183,0.46541711953036224,4504
1188.2769775390625,1177.9290771484375,1188.47998046875,1183.841064453125,1.18095,1189.02099609375,1178.4730224609375,1189.0999755859375,1184.3709716796875,0.95960003,0.28053778340009305,3520
1183.841064453125,1182.783935546875,1194.26806640625,1192.873046875,5.9697,1184.385009765625,1183.325927734375,1194.51904296875,1193.217041015625,6.16236,0.3402345038684856,12141
1192.863037109375,1191.112060546875,1197.748046875,1195.6419677734375,5.91482,1193.20703125,1191.4320068359375,1198.1710205078125,1196.010986328125,5.52767,0.30637109590110384,11149
1195.625,1186.947998046875,1197.3990478515625,1189.0899658203125,8.52792,1195.9940185546875,1187.27099609375,1197.7100830078125,1189.387939453125,7.76904,0.2957467232059487,14705
1189.0899658203125,1186.72900390625,1202.51708984375,1198.738037109375,19.21961,1189.342041015625,1186.97998046875,1202.77099609375,1198.968017578125,16.95813,0.28635810569285053,31723
1198.68896484375,1194.3880615234375,1204.3880615234375,1203.97998046875,9.08726,1198.968017578125,1194.738037109375,1204.7320556640625,1204.251953125,8.37714,0.31308916780837137,16418
1203.97900390625,1202.280029296875,1207.386962890625,1203.240966796875,1.87385,1204.251953125,1202.719970703125,1207.72900390625,1203.5849609375,1.73521,0.30365947704224333,4670
1203.22998046875,1201.60302734375,1205.822021484375,1205.6019287109375,4.86696,1203.573974609375,1201.947021484375,1206.1280517578125,1205.8919677734375,4.99418,0.30148141781603244,9634
1205.69091796875,1205.2109375,1211.8419189453125,1208.6319580078125,6.31812,1205.8919677734375,1205.5379638671875,1212.175048828125,1208.971923828125,7.36106,0.29513373436499024,13424
1208.6429443359375,1206.6109619140625,1214.278076171875,1210.0819091796875,11.47984,1208.987060546875,1206.958984375,1214.5770263671875,1210.3409423828125,9.8156,0.28505622850649637,18602
1210.06103515625,1205.4019775390625,1213.948974609375,1208.781005859375,15.08917,1210.3409423828125,1205.708984375,1214.166015625,1209.0889892578125,16.03031,0.28771881128920995,27658
1208.7889404296875,1207.1920166015625,1223.02197265625,1217.2779541015625,18.01958,1209.0889892578125,1207.47900390625,1223.4320068359375,1217.6070556640625,12.49877,0.3155835637465491,30575
1217.2779541015625,1215.9549560546875,1219.76806640625,1216.1160888671875,2.61808,1217.6180419921875,1216.2989501953125,1220.093017578125,1216.4580078125,2.33849,0.29521025194727035,5814
1216.3720703125,1214.0880126953125,1218.5679931640625,1214.18798828125,5.22288,1216.6090087890625,1214.3480224609375,1218.8480224609375,1214.43798828125,5.65564,0.29344384657519346,10744
1214.1739501953125,1211.98193359375,1215.3740234375,1214.111083984375,5.28208,1214.43798828125,1212.2979736328125,1215.678955078125,1214.4189453125,6.44587,0.2889762001960624,11366
1214.111083984375,1211.010986328125,1218.258056640625,1213.427978515625,7.48702,1214.3770751953125,1211.3280029296875,1218.51904296875,1213.759033203125,7.33697,0.2926835776323522,12258
1213.424072265625,1208.9510498046875,1216.3580322265625,1214.4520263671875,15.29423,1213.759033203125,1209.260986328125,1216.6510009765625,1214.778076171875,14.03407,0.29121990750212406,26562
1214.4520263671875,1209.404052734375,1216.385986328125,1215.6629638671875,9.33937,1214.758056640625,1209.802001953125,1216.8280029296875,1216.0050048828125,10.50273,0.3278998523672318,21097
1215.6319580078125,1209.7349853515625,1216.6099853515625,1212.26904296875,2.21718,1215.97607421875,1210.1790771484375,1216.9610595703125,1212.801025390625,2.41241,0.3351195675214441,5964
1212.27001953125,1206.571044921875,1214.2020263671875,1207.448974609375,4.8905,1212.7420654296875,1206.9119873046875,1214.5059814453125,1207.718017578125,4.84239,0.3026061335224032,9371
1207.448974609375,1204.7879638671875,1210.1739501953125,1208.511962890625,5.90015,1207.678955078125,1205.1319580078125,1210.43896484375,1208.821044921875,5.10391,0.2900538716019844,10385
1208.529052734375,1204.77099609375,1208.9119873046875,1206.7669677734375,7.52284,1208.8480224609375,1205.029052734375,1209.208984375,1207.048095703125,6.94907,0.2858558088154771,12367
1206.7110595703125,1205.64208984375,1216.4290771484375,1212.498046875,15.72042,1207.0389404296875,1205.9580078125,1216.6920166015625,1212.7889404296875,13.4316,0.28794080386085547,25692
